% Fogale DL Rail Calibration results.
% DL=5, Date=2016-03-23T09:39:27
% Tunnel Temperature=17.94 oC
% Scan Range: 118.875 - 1.125 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-7D6-003
% WPS-Sensor tunnel end: WPS-7D6-004
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093933.7 118.874 4.999733e+00 4.134236e-03 1.363444e+00 -5.853507e+00 -2.427366e+00 -5.685822e+00
093941.4 118.5 4.999752e+00 4.334556e-03 1.327667e+00 -5.708221e+00 -2.424988e+00 -5.606691e+00
093951.2 118.124 4.999737e+00 4.500812e-03 1.309454e+00 -5.562500e+00 -2.435509e+00 -5.517294e+00
094000.3 117.75 4.999727e+00 4.596220e-03 1.296735e+00 -5.428047e+00 -2.427921e+00 -5.421547e+00
094009.1 117.375 4.999769e+00 4.624747e-03 1.304932e+00 -5.311327e+00 -2.409630e+00 -5.295690e+00
094022.7 117 4.999725e+00 4.620438e-03 1.311395e+00 -5.162665e+00 -2.402883e+00 -5.131685e+00
094031.5 116.626 4.999741e+00 4.595172e-03 1.323535e+00 -5.018670e+00 -2.391963e+00 -4.963740e+00
094040.3 116.25 4.999759e+00 4.545620e-03 1.336785e+00 -4.900552e+00 -2.374175e+00 -4.818770e+00
094048.3 115.875 4.999732e+00 4.478980e-03 1.349768e+00 -4.789610e+00 -2.352099e+00 -4.675003e+00
094100.5 115.5 4.999732e+00 4.419148e-03 1.361527e+00 -4.656159e+00 -2.333836e+00 -4.512800e+00
094110.9 115.125 4.999773e+00 4.410241e-03 1.366839e+00 -4.513199e+00 -2.328713e+00 -4.342600e+00
094119.3 114.75 4.999745e+00 4.406886e-03 1.368570e+00 -4.395158e+00 -2.325028e+00 -4.215698e+00
094129.3 114.375 4.999733e+00 4.416406e-03 1.370697e+00 -4.278024e+00 -2.325656e+00 -4.097084e+00
094137.9 114 4.999739e+00 4.441188e-03 1.372665e+00 -4.149626e+00 -2.338108e+00 -3.969149e+00
094146.3 113.625 4.999786e+00 4.457156e-03 1.378586e+00 -4.003769e+00 -2.339014e+00 -3.824651e+00
094157.8 113.25 4.999768e+00 4.447627e-03 1.385068e+00 -3.883554e+00 -2.338114e+00 -3.705388e+00
094209.2 112.875 4.999755e+00 4.431382e-03 1.392921e+00 -3.781484e+00 -2.333435e+00 -3.587414e+00
094220.8 112.5 4.999750e+00 4.418383e-03 1.394972e+00 -3.659052e+00 -2.319411e+00 -3.450892e+00
094228.9 112.126 4.999761e+00 4.412507e-03 1.389184e+00 -3.521871e+00 -2.317211e+00 -3.310836e+00
094239.1 111.75 4.999758e+00 4.399463e-03 1.398309e+00 -3.410095e+00 -2.313900e+00 -3.190446e+00
094248.1 111.376 4.999762e+00 4.380518e-03 1.401554e+00 -3.300468e+00 -2.310134e+00 -3.078737e+00
094257.8 111 4.999749e+00 4.370949e-03 1.413707e+00 -3.171072e+00 -2.300472e+00 -2.942529e+00
094307.2 110.992 4.999753e+00 4.359630e-03 1.426232e+00 -3.036103e+00 -2.302214e+00 -2.814412e+00
094317.5 110.25 4.999737e+00 4.331863e-03 1.437112e+00 -2.935673e+00 -2.288794e+00 -2.699386e+00
094330.7 109.876 4.999736e+00 4.299959e-03 1.441421e+00 -2.850371e+00 -2.279099e+00 -2.589208e+00
094338.7 109.5 4.999716e+00 4.283146e-03 1.438115e+00 -2.727030e+00 -2.273018e+00 -2.460726e+00
094346.6 109.126 4.999749e+00 4.272540e-03 1.436924e+00 -2.588626e+00 -2.269693e+00 -2.324877e+00
094358.8 108.75 4.999738e+00 4.253845e-03 1.445668e+00 -2.483833e+00 -2.265885e+00 -2.211545e+00
094407.7 108.375 4.999756e+00 4.221866e-03 1.463662e+00 -2.390271e+00 -2.258468e+00 -2.109634e+00
094416.9 108.001 4.999718e+00 4.203300e-03 1.475135e+00 -2.272499e+00 -2.254765e+00 -1.990674e+00
094425.1 107.625 4.999742e+00 4.185412e-03 1.491279e+00 -2.153933e+00 -2.237947e+00 -1.861125e+00
094436.7 107.25 4.999729e+00 4.145790e-03 1.493915e+00 -2.060238e+00 -2.233816e+00 -1.745167e+00
094448.3 106.875 4.999741e+00 4.102594e-03 1.491100e+00 -1.969076e+00 -2.226440e+00 -1.636844e+00
094456.1 106.5 4.999747e+00 4.075513e-03 1.494285e+00 -1.852885e+00 -2.224796e+00 -1.522391e+00
094506.4 106.125 4.999750e+00 4.051704e-03 1.500791e+00 -1.732741e+00 -2.218142e+00 -1.398567e+00
094515.1 105.75 4.999741e+00 4.015750e-03 1.511965e+00 -1.638030e+00 -2.208662e+00 -1.299712e+00
094524.0 105.375 4.999767e+00 3.983090e-03 1.529548e+00 -1.550320e+00 -2.190454e+00 -1.209735e+00
094534.0 105 4.999739e+00 3.967922e-03 1.535670e+00 -1.444024e+00 -2.187098e+00 -1.092911e+00
094543.6 104.625 4.999764e+00 3.933376e-03 1.545681e+00 -1.330153e+00 -2.181422e+00 -9.611369e-01
094552.2 104.251 4.999760e+00 3.880367e-03 1.545475e+00 -1.239296e+00 -2.176835e+00 -8.664610e-01
094600.5 103.875 4.999715e+00 3.830733e-03 1.545881e+00 -1.157913e+00 -2.169940e+00 -7.716809e-01
094608.7 103.5 4.999773e+00 3.809662e-03 1.558839e+00 -1.053967e+00 -2.159849e+00 -6.654729e-01
094617.4 103.126 4.999778e+00 3.803157e-03 1.567098e+00 -9.341135e-01 -2.150458e+00 -5.445989e-01
094626.0 102.75 4.999750e+00 3.791006e-03 1.574712e+00 -8.472013e-01 -2.137974e+00 -4.511727e-01
094635.1 102.375 4.999796e+00 3.761223e-03 1.582742e+00 -7.679726e-01 -2.129969e+00 -3.625857e-01
094647.1 102 4.999773e+00 3.734066e-03 1.584637e+00 -6.634209e-01 -2.130050e+00 -2.468685e-01
094655.5 101.625 4.999738e+00 3.719087e-03 1.593430e+00 -5.520769e-01 -2.131741e+00 -1.316769e-01
094704.2 101.25 4.999757e+00 3.711116e-03 1.600241e+00 -4.667800e-01 -2.125605e+00 -3.354628e-02
094712.1 100.875 4.999756e+00 3.698967e-03 1.610908e+00 -3.840658e-01 -2.117093e+00 5.585015e-02
094720.2 100.5 4.999759e+00 3.700304e-03 1.614475e+00 -2.855869e-01 -2.109536e+00 1.590000e-01
094729.0 100.125 4.999739e+00 3.700786e-03 1.621839e+00 -1.913695e-01 -2.095166e+00 2.684490e-01
094739.9 99.75 4.999743e+00 3.692562e-03 1.617824e+00 -1.058014e-01 -2.094562e+00 3.626881e-01
094748.1 99.375 4.999742e+00 3.691129e-03 1.623318e+00 -3.524251e-02 -2.098527e+00 4.480940e-01
094757.8 99 4.999761e+00 3.711561e-03 1.629946e+00 7.195421e-02 -2.094053e+00 5.544338e-01
094811.2 98.6254 4.999722e+00 3.744636e-03 1.631232e+00 1.894081e-01 -2.091121e+00 6.729886e-01
094822.6 98.2503 4.999756e+00 3.777626e-03 1.634497e+00 2.662428e-01 -2.088436e+00 7.638531e-01
094833.9 97.8755 4.999722e+00 3.811854e-03 1.642256e+00 3.405201e-01 -2.080484e+00 8.484659e-01
094845.5 97.5 4.999752e+00 3.847810e-03 1.639696e+00 4.378079e-01 -2.075714e+00 9.579576e-01
094857.5 97.1252 4.999733e+00 3.879282e-03 1.635570e+00 5.351524e-01 -2.081137e+00 1.067910e+00
094909.5 96.7502 4.999771e+00 3.885793e-03 1.637609e+00 6.121653e-01 -2.073411e+00 1.143827e+00
094917.9 96.3751 4.999765e+00 3.885200e-03 1.653799e+00 6.855317e-01 -2.073640e+00 1.233142e+00
094927.2 96.0002 4.999758e+00 3.888718e-03 1.665165e+00 7.731676e-01 -2.064793e+00 1.330445e+00
094939.2 95.6255 4.999753e+00 3.890483e-03 1.678594e+00 8.812671e-01 -2.055226e+00 1.428570e+00
094950.9 95.2503 4.999765e+00 3.869971e-03 1.684628e+00 9.412955e-01 -2.048313e+00 1.507093e+00
095000.8 94.8747 4.999736e+00 3.819453e-03 1.685378e+00 1.000271e+00 -2.042191e+00 1.568183e+00
095008.3 94.5002 4.999749e+00 3.776273e-03 1.675950e+00 1.083309e+00 -2.040708e+00 1.668681e+00
095022.9 94.124 4.999768e+00 3.737496e-03 1.681931e+00 1.177908e+00 -2.032354e+00 1.773821e+00
095031.5 93.7502 4.999774e+00 3.714991e-03 1.690797e+00 1.249141e+00 -2.022773e+00 1.836278e+00
095039.9 93.3754 4.999744e+00 3.677812e-03 1.711553e+00 1.306493e+00 -2.014500e+00 1.899302e+00
095049.0 92.9996 4.999737e+00 3.649820e-03 1.721769e+00 1.384641e+00 -2.000923e+00 1.986633e+00
095102.3 92.6253 4.999747e+00 3.628052e-03 1.727143e+00 1.467187e+00 -1.998389e+00 2.079212e+00
095110.7 92.2499 4.999751e+00 3.605478e-03 1.724538e+00 1.530197e+00 -2.004234e+00 2.159012e+00
095121.4 91.8747 4.999778e+00 3.580277e-03 1.728281e+00 1.591500e+00 -1.989565e+00 2.223459e+00
095129.6 91.5001 4.999757e+00 3.572091e-03 1.740300e+00 1.669519e+00 -1.983432e+00 2.308523e+00
095141.9 91.1253 4.999749e+00 3.574777e-03 1.754489e+00 1.756639e+00 -1.969220e+00 2.395842e+00
095150.4 90.7502 4.999733e+00 3.563012e-03 1.760189e+00 1.813427e+00 -1.958367e+00 2.466917e+00
095158.8 90.375 4.999757e+00 3.552803e-03 1.768695e+00 1.869704e+00 -1.948538e+00 2.534367e+00
095209.9 89.9999 4.999765e+00 3.554538e-03 1.769418e+00 1.945297e+00 -1.943624e+00 2.617170e+00
095224.1 89.6253 4.999771e+00 3.557503e-03 1.770874e+00 2.033150e+00 -1.952993e+00 2.714669e+00
095235.8 89.2502 4.999748e+00 3.547424e-03 1.768075e+00 2.092033e+00 -1.942870e+00 2.781819e+00
095246.5 88.8747 4.999754e+00 3.542735e-03 1.775960e+00 2.139348e+00 -1.939195e+00 2.843079e+00
095257.1 88.5 4.999754e+00 3.560701e-03 1.788132e+00 2.211940e+00 -1.934531e+00 2.921087e+00
